,x11,x23,x41,x53,x57,x58,x66,x104,x55,x86
1,0.015106,0.0468,0.13029,3.2605,0.0010567,0.93481,0.083563,0.92416,0.00096801,0.010086
2,0.020005,0.046669,0.19576,3.1922,0.0010502,0.26188,0.074295,0.92377,0.0010236,0.010043
3,0.023262,0.042664,0.16434,2.6001,0.00090978,0.098048,0.050658,0.91191,0.0017062,0.0098608
4,0.018839,0.036923,0.12757,1.9272,0.00076383,0.087105,0.030219,0.89639,0.0026828,0.0096144
5,0.01444,0.030843,0.10423,1.3427,0.00064114,0.08345,0.01724,0.87839,0.003772,0.0093138
6,0.010962,0.025137,0.086455,0.90209,0.00054151,0.080648,0.0096768,0.85662,0.0048349,0.008943
7,0.0082788,0.020151,0.072984,0.59774,0.00045996,0.078397,0.0053962,0.82935,0.0057707,0.0084841
9,0.0046671,0.012736,0.05534,0.26814,0.00033856,0.075365,0.0016668,0.7566,0.0070561,0.0073122
11,0.0025987,0.0083923,0.045659,0.13808,0.00026378,0.073949,0.00051356,0.67215,0.0075738,0.0060325
13,0.001435,0.0061918,0.040478,0.08923,0.00022424,0.073639,0.00015815,0.60268,0.0076765,0.0050302
15,0.00078853,0.0052131,0.037807,0.070926,0.0002061,0.074042,4.87E-05,0.56143,0.0076675,0.0044538
17,0.00043216,0.0048219,0.036534,0.064265,0.00019867,0.074902,1.50E-05,0.54227,0.0076504,0.0041909
